,classes,nimages_seq,signal_noise_median,signal_median
0,OTHER,64,3.395086079052016,2561.955078125
1,OTHER,46,5.487613855316143,2305.3369140625
2,OTHER,145,1.9657693558800382,2146.72265625
3,OTHER,112,11.55269200138801,1969.0472412109375
4,OTHER,133,4.897727688222682,2055.192626953125
5,OTHER,130,1.3226843387345257,1670.2225341796875
6,OTHER,105,0.8502666819533566,2637.98681640625
7,OTHER,47,1.5973191932231674,2157.8115234375
8,OTHER,101,15.986734748620592,2066.9658203125
9,OTHER,37,3.2303296110184316,2332.70849609375
10,OTHER,39,2.6296357065825564,2929.1689453125
11,OTHER,102,1.637090170427664,2324.43017578125
12,OTHER,122,1.110591392862499,2364.719482421875
13,OTHER,24,13.336813388640534,2653.982421875
14,OTHER,108,4.4870301471519864,1951.798095703125
15,OTHER,72,30.158625925005296,2007.604736328125
16,OTHER,75,1.5329236804768047,2199.001953125
17,OTHER,120,23.505692664405423,1994.188232421875
18,OTHER,122,57.24219322815,2601.2965087890625
19,OTHER,114,21.5739952668847,2540.2080078125
20,OTHER,137,7.333750837032232,2724.01953125
21,OTHER,109,15.845366402601218,2053.00048828125
22,OTHER,181,22.550687531980046,2044.4072265625
23,OTHER,135,1.5815300064254014,2103.93798828125
24,OTHER,63,20.652123817714845,1972.32666015625
25,OTHER,67,23.47117296690064,1713.9296875
26,OTHER,120,4.936942649989922,2221.46875
27,OTHER,71,1.756581908045549,2094.1953125
28,OTHER,137,15.620732921111765,1785.431640625
29,OTHER,154,8.44320188435443,2394.2158203125
30,OTHER,101,2.3168684213141235,2043.189208984375
31,OTHER,80,3.1328143193667053,2180.4736328125
32,OTHER,115,1.1280339730503628,2255.388671875
33,OTHER,99,2.220849394231943,2036.1455078125
34,OTHER,34,5.483051044205903,1808.5146484375
35,OTHER,132,2.048218543408206,2364.76708984375
36,OTHER,125,74.88966716751105,1981.3544921875
37,OTHER,98,6.558461305707322,2042.0921630859375
38,OTHER,83,1.841764811089493,1929.669921875
39,OTHER,133,15.385101925690897,1760.046875
40,OTHER,33,46.382939644655515,2629.599609375
41,OTHER,120,30.817028586058335,2487.51611328125
42,OTHER,89,18.986676702094684,2318.89404296875
43,OTHER,111,0.5763139007829778,2884.53515625
44,OTHER,63,3.395805674600781,2562.62890625
45,OTHER,45,1.302842276231483,2043.96142578125
46,OTHER,93,3.854285101076237,2022.1640625
47,OTHER,38,21.723688960521258,3030.14990234375
48,OTHER,127,7.188950341448768,2466.2412109375
49,OTHER,66,17.02111445789572,2080.1700439453125
50,OTHER,162,2.291618754874998,1896.5345458984375
51,OTHER,149,3.123369778569964,2183.932373046875
52,OTHER,99,5.199959932165584,1780.7822265625
53,OTHER,79,1.8651065723176041,1946.125
54,OTHER,99,2.394866725077474,1749.64453125
55,OTHER,67,6.413027661998247,2177.5341796875
56,OTHER,85,1.9690070831190483,2408.7021484375
57,OTHER,50,2.1280211719758904,2764.221435546875
58,OTHER,119,19.211523352180674,1800.09912109375
59,OTHER,60,3.008607988006789,2646.328369140625
60,OTHER,90,5.975356475942078,1889.0546875
61,OTHER,82,1.585336543995695,2447.162109375
62,OTHER,135,1.815261765221714,1909.107421875
63,OTHER,178,90.0569395249019,2221.4365234375
64,OTHER,82,1.1589183453227474,1841.49267578125
65,OTHER,100,50.498953928844166,2777.446044921875
66,OTHER,103,75.96471863463013,3221.830078125
67,OTHER,104,2.2905894308149026,2432.51171875
68,OTHER,70,25.72457994757979,2022.65625
69,OTHER,147,2.320790279555844,2040.986328125
70,OTHER,97,8.663238243129525,2110.53076171875
71,OTHER,85,1.8414407605840617,2783.7763671875
72,OTHER,140,28.968257149310002,2499.070068359375
73,OTHER,46,1.9860302033651265,1737.455078125
74,OTHER,98,2.898497527527085,1911.989990234375
75,OTHER,105,3.6679012035517764,1876.4697265625
76,OTHER,67,1.806856433449363,1894.77001953125
77,OTHER,153,1.1002884850345358,2287.47265625
78,OTHER,14,5.4850676834266565,2663.190673828125
79,OTHER,161,1.33506401248091,2158.2392578125
80,OTHER,63,7.565126165129252,1974.9296875
81,OTHER,31,73.0045583499436,2787.193359375
82,OTHER,136,75.62796506387667,1610.005615234375
83,OTHER,114,55.80568168911653,2529.012939453125
84,OTHER,59,1.5760125996513763,2590.72265625
85,OTHER,106,2.9956389570600535,2473.11328125
86,OTHER,92,40.13095505992372,1899.068603515625
87,OTHER,66,3.9518574528416286,1952.9991455078125
88,OTHER,92,78.51845516336603,1762.484375
89,OTHER,38,14.665507533248958,2480.9461669921875
90,OTHER,56,86.62240705551977,2519.8175048828125
91,OTHER,49,0.5312075756384897,3173.0
92,OTHER,16,12.859944346883017,1860.005859375
93,OTHER,54,3.180293758307136,3963.466796875
94,OTHER,131,1.3249037361937663,1670.97314453125
95,OTHER,85,1.9686764008334572,2408.71630859375
96,OTHER,116,2.012239610488989,2207.127685546875
97,OTHER,118,8.563026612582217,1876.61376953125
98,OTHER,55,18.476343396404527,2525.5830078125
99,OTHER,110,1.880195214258878,2424.261474609375
100,OTHER,10,48.228240909765816,3361.5888671875
101,OTHER,121,3.4345082270273557,2260.36083984375
102,OTHER,134,7.179575355602649,2680.21044921875
103,OTHER,89,19.17668582155674,2348.9033203125
104,OTHER,40,13.090339172971003,2052.841552734375
105,OTHER,145,7.4997058688027405,2078.453125
106,OTHER,113,11.112083860297687,1877.8125
107,OTHER,52,9.179645947081973,3229.15478515625
108,OTHER,72,9.233244704545257,1852.478515625
109,OTHER,96,1.9886522600945176,1551.613525390625
110,OTHER,57,18.19886038387548,1812.572265625
111,OTHER,136,2.1975051690495775,2639.9423828125
112,OTHER,107,60.089714635505544,1864.46484375
113,OTHER,98,10.854772605895036,1525.2857666015625
114,OTHER,85,8.30466760284122,1958.3125
115,OTHER,153,5.603762915505335,1932.40625
116,OTHER,60,2.0879442566359154,2191.2388916015625
117,OTHER,64,13.581604204633704,1767.656494140625
118,OTHER,128,64.03312906046061,2088.1279296875
119,OTHER,77,7.5771257575478455,2193.8515625
120,OTHER,99,6.163226036256806,2224.9150390625
121,OTHER,106,9.817377477648941,2071.404052734375
122,OTHER,110,14.15431165869462,1647.18603515625
123,OTHER,153,29.450506041974158,2292.880859375
